Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Boo,2023-08-21 10:33:44,00:16:45,,Sweet Tooth: Seizoen 2: In Captivity (Aflevering 1),,Chrome PC (Cadmium),00:34:01,00:34:01,NL (Netherlands)
Boo,2023-08-21 10:08:56,00:17:04,,Sweet Tooth: Seizoen 2: In Captivity (Aflevering 1),,Chrome PC (Cadmium),00:17:16,Not latest view,NL (Netherlands)
Boo,2023-08-21 10:05:46,00:03:09,,Seizoen 1 (Overzicht): Sweet Tooth,RECAP,Chrome PC (Cadmium),00:03:09,00:03:09,NL (Netherlands)
Boo,2023-08-21 10:05:20,00:00:12,,Sweet Tooth: Seizoen 2: In Captivity (Aflevering 1),,Chrome PC (Cadmium),00:00:12,Not latest view,NL (Netherlands)
Boo,2023-07-03 11:31:38,00:00:05,Autoplayed: user action: None; ,"Is It Cake, Too? Cliffhanger Clip",HOOK,Chrome PC (Cadmium),00:00:05,00:00:05,NL (Netherlands)
Boo,2023-06-27 10:05:54,00:00:04,Autoplayed: user action: None; ,Seizoen 4 (Trailer): Never Have I Ever,TRAILER,Chrome PC (Cadmium),00:00:04,00:00:04,NL (Netherlands)
Boo,2023-06-21 20:58:24,00:00:03,Autoplayed: user action: None; ,The Confession Killer: Miniserie: War in Waco (Aflevering 3),,Chrome PC (Cadmium),00:00:09,00:00:09,NL (Netherlands)
Boo,2023-06-21 20:45:17,00:11:38,,The Confession Killer: Miniserie: Doe maar aardbei (Aflevering 2),,Chrome PC (Cadmium),00:47:42,00:47:42,NL (Netherlands)
Boo,2023-06-21 13:16:45,00:36:20,,The Confession Killer: Miniserie: Doe maar aardbei (Aflevering 2),,Chrome PC (Cadmium),00:36:02,Not latest view,NL (Netherlands)
Boo,2023-06-21 13:15:54,00:00:11,Autoplayed: user action: None; ,Seizoen 6 (Clip): Black Mirror,HOOK,Chrome PC (Cadmium),00:00:11,00:00:11,NL (Netherlands)
Boo,2023-06-21 13:15:13,00:00:07,Autoplayed: user action: None; ,New Amsterdam: Season 1_hook_04_16x9,HOOK,Chrome PC (Cadmium),00:00:07,00:00:07,NL (Netherlands)
Boo,2023-06-21 13:10:01,00:04:31,,Black Mirror: Seizoen 6: Joan Is Awful (Aflevering 1),,Chrome PC (Cadmium),00:04:31,00:04:31,NL (Netherlands)
Boo,2023-06-21 13:09:33,00:00:06,Autoplayed: user action: None; ,Seizoen 6 (Clip): Black Mirror,HOOK,Chrome PC (Cadmium),00:00:06,Not latest view,NL (Netherlands)
Boo,2023-05-20 21:47:07,00:01:39,Autoplayed: user action: None; ,Seizoen 3 (Clip): Dead to Me,HOOK,Chrome PC (Cadmium),00:01:39,00:01:39,NL (Netherlands)
Boo,2023-05-20 21:46:52,00:00:08,Autoplayed: user action: None; ,Bridgerton: Season 2 - CLM 1,HOOK,Chrome PC (Cadmium),00:00:08,00:00:08,NL (Netherlands)
Boo,2023-05-20 21:46:24,00:00:08,Autoplayed: user action: None; ,Seizoen 1 (Trailer): Sweet Tooth,TRAILER,Chrome PC (Cadmium),00:00:08,00:00:08,NL (Netherlands)
Boo,2023-05-20 21:45:27,00:00:08,Autoplayed: user action: None; ,Seizoen 6 (Trailer): Selling Sunset,TRAILER,Chrome PC (Cadmium),00:00:08,00:00:08,NL (Netherlands)
Boo,2023-04-23 18:11:09,00:02:10,,Malevolent (Trailer),TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,NL (Netherlands)
Boo,2023-04-23 17:39:24,00:31:33,,The Silence,,Chrome PC (Cadmium),01:25:00,01:25:00,NL (Netherlands)
Boo,2023-04-23 15:38:24,00:53:47,,The Silence,,Chrome PC (Cadmium),00:53:26,Not latest view,NL (Netherlands)
Boo,2023-04-23 15:37:55,00:00:24,Autoplayed: user action: None; ,THESILENCE_CLIP_INCITINGINCIDENT,HOOK,Chrome PC (Cadmium),00:00:24,00:00:24,NL (Netherlands)
Boo,2023-04-23 15:37:36,00:00:12,Autoplayed: user action: None; ,Don't Breathe_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:12,00:00:12,NL (Netherlands)
Boo,2023-04-23 15:36:29,00:00:55,Autoplayed: user action: None; ,The Exorcism Of Karen Walker_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:55,00:00:55,NL (Netherlands)
Boo,2023-04-23 15:35:22,00:00:53,Autoplayed: user action: None; ,Things Heard & Seen - Baseline Clip 1,HOOK,Chrome PC (Cadmium),00:00:53,00:00:53,NL (Netherlands)
Boo,2023-04-23 15:34:24,00:00:53,Autoplayed: user action: None; ,Trailer: No One Gets Out Alive,TRAILER,Chrome PC (Cadmium),00:00:53,00:00:53,NL (Netherlands)
Boo,2023-04-23 11:59:58,00:00:19,Autoplayed: user action: None; ,Seizoen 3 (Trailer): Haunted,TRAILER,Chrome PC (Cadmium),00:00:19,00:00:19,NL (Netherlands)
Boo,2023-04-23 11:23:01,00:36:53,,28 Days Haunted: Seizoen 1: Piercing the Veil (Aflevering 6),,Chrome PC (Cadmium),00:36:49,00:36:49,NL (Netherlands)
Boo,2023-04-23 10:58:21,00:24:39,,28 Days Haunted: Seizoen 1: Troubles Can Cause... (Aflevering 5),,Chrome PC (Cadmium),00:28:54,00:28:54,NL (Netherlands)
Boo,2023-04-23 10:23:11,00:04:08,,28 Days Haunted: Seizoen 1: Troubles Can Cause... (Aflevering 5),,Chrome PC (Cadmium),00:04:14,Not latest view,NL (Netherlands)
Boo,2023-04-23 09:48:44,00:32:11,,28 Days Haunted: Seizoen 1: The Awakening (Aflevering 4),,Chrome PC (Cadmium),00:32:17,00:32:17,NL (Netherlands)
Boo,2023-04-23 09:16:03,00:30:17,,28 Days Haunted: Seizoen 1: I'm Done (Aflevering 3),,Chrome PC (Cadmium),00:30:23,00:30:23,NL (Netherlands)
Boo,2023-04-23 08:47:07,00:28:43,,28 Days Haunted: Seizoen 1: Get Out! (Aflevering 2),,Chrome PC (Cadmium),00:38:28,00:38:28,NL (Netherlands)
Boo,2023-04-23 08:46:48,00:00:11,Autoplayed: user action: None; ,Seizoen 3 (Clip): Haunted,HOOK,Chrome PC (Cadmium),00:00:11,00:00:11,NL (Netherlands)
Boo,2023-04-22 23:00:33,00:10:02,,28 Days Haunted: Seizoen 1: Get Out! (Aflevering 2),,Chrome PC (Cadmium),00:10:08,Not latest view,NL (Netherlands)
Boo,2023-04-22 22:11:39,00:32:37,,28 Days Haunted: Seizoen 1: Day One (Aflevering 1),,Chrome PC (Cadmium),00:32:37,00:32:37,NL (Netherlands)
Boo,2023-04-22 22:08:41,00:00:50,Autoplayed: user action: None; ,Seizoen 1 (Clip): 28 Days Haunted,HOOK,Chrome PC (Cadmium),00:00:50,00:00:50,NL (Netherlands)
Boo,2023-04-22 20:08:34,01:39:54,,Insidious,,Chrome PC (Cadmium),01:39:02,01:39:02,NL (Netherlands)
Boo,2023-04-22 20:07:49,00:00:36,Autoplayed: user action: None; ,Insidious_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:36,00:00:36,NL (Netherlands)
Boo,2023-04-22 20:06:24,00:01:08,Autoplayed: user action: None; ,I Know Who Killed Me_hook_03_16x9,HOOK,Chrome PC (Cadmium),00:01:08,00:01:08,NL (Netherlands)
Boo,2023-04-22 20:06:03,00:00:04,Autoplayed: user action: None; ,Fenómenas (Clip): Fenómenas,HOOK,Chrome PC (Cadmium),00:00:09,00:00:09,NL (Netherlands)
Boo,2023-04-22 20:05:57,00:00:10,Autoplayed: user action: None; ,Fenómenas (Clip): Fenómenas,HOOK,Chrome PC (Cadmium),00:00:10,Not latest view,NL (Netherlands)
Boo,2023-04-22 20:05:47,00:00:07,Autoplayed: user action: None; ,Trailer: A Tourist's Guide to Love,TRAILER,Chrome PC (Cadmium),00:00:07,00:00:07,NL (Netherlands)
Boo,2023-04-21 12:09:37,00:00:28,Has branched playback; ,Black Mirror: Bandersnatch,,Chrome PC (Cadmium),01:30:11,01:30:11,NL (Netherlands)
Boo,2023-04-21 12:08:18,00:00:01,,Black Mirror: Seizoen 3: Nosedive (Aflevering 1),,Chrome PC (Cadmium),00:00:01,00:00:01,NL (Netherlands)
Boo,2023-04-21 12:07:32,00:00:14,Autoplayed: user action: None; ,Seizoen 4 (Trailer): Love Is Blind,TRAILER,Chrome PC (Cadmium),00:00:14,00:00:14,NL (Netherlands)
Boo,2023-04-18 15:47:35,00:08:09,,Fifty Shades Darker,,Apple iPad 10.2 inch 8th Gen Wi-Fi iPad,01:55:36,01:55:36,NL (Netherlands)
Boo,2023-04-18 13:40:58,01:24:28,,Fifty Shades Darker,,Apple iPad 10.2 inch 8th Gen Wi-Fi iPad,01:45:31,Not latest view,NL (Netherlands)
Boo,2023-04-18 12:47:45,00:22:34,,Fifty Shades Darker,,Apple iPad 10.2 inch 8th Gen Wi-Fi iPad,00:22:13,Not latest view,NL (Netherlands)
Boo,2023-04-18 12:27:04,00:15:07,,Fifty Shades of Grey,,Apple iPad 10.2 inch 8th Gen Wi-Fi iPad,01:58:37,01:58:37,NL (Netherlands)
Boo,2023-04-18 10:07:36,01:45:00,,Fifty Shades of Grey,,Apple iPad 10.2 inch 8th Gen Wi-Fi iPad,01:43:29,Not latest view,NL (Netherlands)
Boo,2023-03-31 18:56:56,00:06:52,,You: Seizoen 1: Maybe (Aflevering 3),,Apple iPad 10.2 inch 8th Gen Wi-Fi iPad,00:08:03,00:08:03,NL (Netherlands)
